date,rate
20030825,1.0892
20030826,1.0893
20030827,1.0906
20030828,1.0896
20030829,1.0986
20030902,1.0872
20030903,1.0845
20030904,1.0899
20030905,1.1073
20030908,1.1124
20030909,1.1190
20030910,1.1195
20030911,1.1186
20030912,1.1307
20030915,1.1304
20030916,1.1166
20030917,1.1239
20030918,1.1240
20030919,1.1346
20030922,1.1468
20030923,1.1487
20030924,1.1472
20030925,1.1484
20030926,1.1482
20030929,1.1578
20030930,1.1650
20031001,1.1708
20031002,1.1717
20031003,1.1596
20031006,1.1706
20031007,1.1784
20031008,1.1805
20031009,1.1695
20031010,1.1812
20031014,1.1724
20031015,1.1652
20031016,1.1665
20031017,1.1630
20031020,1.1671
20031021,1.1676
20031022,1.1805
20031023,1.1795
20031024,1.1833
20031027,1.1762
20031028,1.1689
20031029,1.1673
20031030,1.1694
20031031,1.1609
20031103,1.1454
20031104,1.1497
20031105,1.1473
20031106,1.1417
20031107,1.1505
20031110,1.1515
20031112,1.1647
20031113,1.1711
20031114,1.1743
20031117,1.1744
20031118,1.1893
20031119,1.1909
20031120,1.1895
20031121,1.1913
20031124,1.1768
20031125,1.1785
20031126,1.1918
20031128,1.1995
20031201,1.1956
20031202,1.2084
20031203,1.2093
20031204,1.2077
20031205,1.2157
20031208,1.2217
20031209,1.2229
20031210,1.2215
20031211,1.2164
20031212,1.2284
20031215,1.2290
20031216,1.2328
20031217,1.2381
20031218,1.2376
20031219,1.2380
20031222,1.2415
20031223,1.2406
20031224,1.2464
20031226,1.2441
20031229,1.2485
20031230,1.2521
20031231,1.2597
20040102,1.2592
20040105,1.2679
20040106,1.2773
20040107,1.2665
20040108,1.2772
20040109,1.2853
20040112,1.2802
20040113,1.2735
20040114,1.2726
20040115,1.2588
20040116,1.2395
20040120,1.2584
20040121,1.2617
20040122,1.2717
20040123,1.2610
20040126,1.2552
20040127,1.2643
20040128,1.2620
20040129,1.2389
20040130,1.2452
20040202,1.2426
20040203,1.2561
20040204,1.2552
20040205,1.2606
20040206,1.2694
20040209,1.2672
20040210,1.2727
20040211,1.2815
20040212,1.2807
20040213,1.2751
20040217,1.2848
20040218,1.2812
20040219,1.2685
20040220,1.2563
20040223,1.2569
20040224,1.2692
20040225,1.2503
20040226,1.2444
20040227,1.2441
20040301,1.2431
20040302,1.2212
20040303,1.2088
20040304,1.2225
20040305,1.2401
20040308,1.2371
20040309,1.2428
20040310,1.2226
20040311,1.2268
20040312,1.2191
20040315,1.2243
20040316,1.2270
20040317,1.2197
20040318,1.2392
20040319,1.2269
20040322,1.2368
20040323,1.2311
20040324,1.2213
20040325,1.2170
20040326,1.2092
20040329,1.2141
20040330,1.2202
20040331,1.2292
20040401,1.2358
20040402,1.2109
20040405,1.2008
20040406,1.2089
20040407,1.2171
20040408,1.2088
20040409,1.2102
20040412,1.2068
20040413,1.1923
20040414,1.1940
20040415,1.1914
20040416,1.2025
20040419,1.2019
20040420,1.1910
20040421,1.1853
